127.0.0.1, 2013-11-06 11:13:42, POST, /Performatrix/appadmin/_TEST, HTTP/1.1, 200, 1.057864
127.0.0.1, 2013-11-06 11:13:47, GET, /admin/default/site, HTTP/1.1, 200, 0.046856
127.0.0.1, 2013-11-06 11:13:51, GET, /examples/default/index, HTTP/1.1, 200, 0.085295
127.0.0.1, 2013-11-06 11:13:51, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.021731
127.0.0.1, 2013-11-06 11:13:51, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.020887
127.0.0.1, 2013-11-06 11:13:51, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.020608
127.0.0.1, 2013-11-06 11:13:51, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.023884
127.0.0.1, 2013-11-06 11:13:51, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.059930
127.0.0.1, 2013-11-06 11:13:51, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.057860
127.0.0.1, 2013-11-06 11:13:51, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004961
127.0.0.1, 2013-11-06 11:13:51, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.005506
127.0.0.1, 2013-11-06 11:13:51, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000326
127.0.0.1, 2013-11-06 11:13:51, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000255
127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000329
127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000248
127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.000248
127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.036480
127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.036145
127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.035360
